BOROUGH,PRICE,NAME,SERVICE,NUM_RATING,RATING,LOCATION,ATTRACTION,ACCOUNT_NUM
Brooklyn,340,PUBLIC an Ian Schrager hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,null,null,Brooklyn,1.1 km from SoHo Shopping District,0
Manhattan,340,The Lombardy Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,636,4.5,Manhattan,null,0
Manhattan,342,The William,Free WI-Fi;Parking;Private Parking;,248,4.5,Manhattan,0.8 km from Empire State Building,0
Manhattan,345,The Standard High Line Brooklyn,Free WI-Fi;24-hour Front Desk;Parking;,3416,4,Manhattan,null,0
Manhattan,346,Gansevoort Meatpacking,Free Internet Services;Free WI-Fi;Outdoor Pool;,2074,4,Manhattan,2.7 km from Madame Tussauds Brooklyn,0
Manhattan,347,The Westin Brooklyn at Times Square,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,3524,4,Manhattan,1 min from Broadway Shopping District,0
Manhattan,348,Residence Inn by Marriott Brooklyn Manhattan/Manhattan East,Free WI-Fi;24-hour Front Desk;Pets Allowed;,2086,4.5,Manhattan,null,0
Manhattan,348,Brooklyn Marriott East Side,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2494,4,Manhattan,null,0
Manhattan,348,Brooklyn Hilton Manhattan,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,12855,4,Manhattan,0.8 km from Rockfeller Center,0
Brooklyn,353,AKA Smyth Tribeca,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,600,4.5,Brooklyn,1.3 km from One World Trade Center,0
Brooklyn,354,Merrion Row Hotel and Public House,,null,null,Brooklyn,null,0
Manhattan,355,Hilton Brooklyn Fashion District,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,3826,4,Manhattan,1.1 km from Madison Square Garden,0
Manhattan,359,W Brooklyn - Times Square,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,4753,4,Manhattan,0.7 km from Times Square,0
Manhattan,361,Hotel Sofitel Brooklyn,Free Internet Services;Free WI-Fi;24-hour Front Desk;,7285,4.5,Manhattan,0.7 km from Fifth Avenue Shopping Street,0
Brooklyn,361,Inn at Brooklyn BW Premier Collection,Free WI-Fi;24-hour Front Desk;Terrace;,457,4.5,Brooklyn,null,0
Manhattan,363,Courtyard Brooklyn Manhattan/Times Square West,Free WI-Fi;Multilingual Staff;Restaurant;,1328,4.5,Manhattan,1.2 km from Madame Tussauds Brooklyn,0
Manhattan,364,Renaissance Brooklyn Manhattan Hotel,Free Internet Services;Free WI-Fi;24-hour Front Desk;,1069,4.5,Manhattan,0.9 km from Madame Tussauds Brooklyn,0
Brooklyn,370,SIXTY SoHo,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1316,4.5,Brooklyn,1.0 km from SoHo Shopping District,0
Manhattan,373,The Algonquin Hotel Times Square Autograph Collection,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2230,4,Manhattan,0.7 km from Fifth Avenue Shopping Street,0
Manhattan,378,Hyatt Centric Times Square Brooklyn,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,5235,4.5,Manhattan,0.5 km from Madame Tussauds Brooklyn,0
Manhattan,380,The High Line Hotel,24-hour Front Desk;Multilingual Staff;Terrace;,783,4.5,Manhattan,2.4 km from Madame Tussauds Brooklyn,0
Brooklyn,389,THE BROOME NYC,Free WI-Fi;24-hour Front Desk;Concierge Service;,586,5,Brooklyn,0.6 km from SoHo Shopping District,0
Manhattan,394,Kimpton Hotel Eventi,24-hour Front Desk;Multilingual Staff;Concierge Service;,3831,4.5,Manhattan,0.5 km from Madison Square Garden,0
Queens,395,Hyatt Place Flushing/LaGuardia Airport,Free Internet Services;Free WI-Fi;24-hour Front Desk;,765,4.5,Queens,null,0
Manhattan,396,Brooklyn Marriott Marquis,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,12592,4,Manhattan,null,0
Manhattan,399,Best Location 28th St & Park Avenue,Free WI-Fi;Family Rooms;Internet Services;,null,null,Manhattan,1.1 km from Empire State Building,0
Manhattan,404,Best Western Plus Hospitality House,Free Internet Services;Free WI-Fi;24-hour Front Desk;,1299,4.5,Manhattan,0.6 km from Rockfeller Center,0
Queens,406,Sheraton LaGuardia East Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,349,4,Queens,null,0
Manhattan,408,Novotel Brooklyn Times Square,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,7174,4.5,Manhattan,0.6 km from Times Square,0
Manhattan,410,Residence Inn Brooklyn Manhattan/Times Square Hotel,,2747,4.5,Manhattan,null,0
Manhattan,410,AKA Central Park,Free Internet Services;Free WI-Fi;24-hour Front Desk;,518,4.5,Manhattan,1.0 km from Rockfeller Center,0
Brooklyn,411,Brooklyn Grand Apartment,,null,null,Brooklyn,null,0
Manhattan,411,Omni Berkshire Place,24-hour Front Desk;Multilingual Staff;Terrace;,4637,4.5,Manhattan,0.7 km from Rockfeller Center,0
Manhattan,427,36th Street Manhattan East Luxury Duplex Apartment,Free WI-Fi;Family Rooms;Internet Services;,null,null,Manhattan,1.0 km from Empire State Building,0
Brooklyn,427,Union Square Best Location 2 Bedroom Apt,Free WI-Fi;Family Rooms;Internet Services;,null,null,Brooklyn,null,0
Brooklyn,428,The Knickerbocker Hotel,Free Internet Services;Free WI-Fi;24-hour Front Desk;,4796,4.5,Brooklyn,0.2 km from Madame Tussauds Brooklyn,0
Manhattan,434,Hotel Beacon,Free Internet Services;Free WI-Fi;Multilingual Staff;,4774,4.5,Manhattan,2.1 km from Central Park,0
Manhattan,436,Hyatt Herald Square Brooklyn,24-hour Front Desk;Multilingual Staff;Restaurant;,1224,4,Manhattan,0.6 km from Madison Square Garden,0
Manhattan,437,W Brooklyn - Union Square,24-hour Front Desk;Restaurant;Pets Allowed;,1620,4,Manhattan,1.6 km from Empire State Building,0
Manhattan,441,Refinery Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,5044,4.5,Manhattan,0.8 km from Empire State Building,0
Manhattan,457,The Surrey,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2166,4.5,Manhattan,1.3 km from Solomon R.Guggenheim Museum,0
